Date,Shape of You,Despacito,Something Just Like This,HUMBLE.,Unforgettable
8/2/2017,5816421,11974849,3835236,3893299,7002895
8/3/2017,5813934,11925165,3809888,3903153,7056852
8/4/2017,6007623,12565919,3952948,4034865,7272132
8/5/2017,5853156,12595568,3762743,3845196,7013793
8/6/2017,5161329,10971045,3303766,3429417,6148053
8/7/2017,5463623,11038928,3601600,3620249,6558849
8/8/2017,5503197,11026134,3617536,3737388,6646539
8/9/2017,5577100,11072469,3679142,3810186,6775658
8/10/2017,5609356,11077073,3704051,3861148,6834501
8/11/2017,5821842,11682964,3826441,3952534,7010525
8/12/2017,5690637,11541402,3608592,3756727,6727197
8/13/2017,5048734,10162818,3227925,3386920,6007073
8/14/2017,5356407,10227207,3458670,3596980,6522976
8/15/2017,5324014,10117908,3441392,3626772,6599419
8/16/2017,5340468,10112353,3428613,3667274,6702959
8/17/2017,5354799,10078390,3388205,3673307,6728231
8/18/2017,5612592,10632098,3514567,3788165,6917995
8/19/2017,5521995,10745228,3330789,3631568,6714150
8/20/2017,4877951,9347543,2930431,3250541,5971170
8/21/2017,5053891,9190645,3137077,3362878,6324038
8/22/2017,5190960,9345758,3220089,3525272,6557427
8/23/2017,5213331,9291811,3247528,3538478,6594554
8/24/2017,5192733,9112136,3200638,3593733,6629096
8/25/2017,5372132,9604864,3297845,3728981,6919821
8/26/2017,5398407,9830691,3177570,3707354,6735165
8/27/2017,4639412,8211357,2708561,3241394,5697007
8/28/2017,5052322,8245177,2965292,3805542,6155840
8/29/2017,5069208,8326055,3047201,3840230,6312760
8/30/2017,5073099,8289340,3098976,3811893,6261844
8/31/2017,5004209,8220587,3081615,3763414,6270509
9/1/2017,5211297,8851183,3220023,3899350,6555770
9/2/2017,5184822,8855437,3063769,3649317,6234713
9/3/2017,4565886,7634595,2706883,3242651,5455643
9/4/2017,4707435,7493172,2888297,3398290,5809396
9/5/2017,4695639,7304888,2881964,3429361,5888354
9/6/2017,4760158,7274460,2899870,3455123,5964207
9/7/2017,4826109,7319295,2872544,3503719,5976230
9/8/2017,4910246,7615512,2926563,3628067,6153565
9/9/2017,4811154,7678972,2788193,3444938,5887824
9/10/2017,4198795,6611073,2457214,3035355,5163668
9/11/2017,4361981,6438665,2634210,3219538,5567003
9/12/2017,4449059,6485427,2693230,3339749,5768113
9/13/2017,4486914,6372277,2730972,3362267,5813366
9/14/2017,4625412,6392424,2789158,3427588,5842846
9/15/2017,4857453,6897461,2897776,3588348,6085964
9/16/2017,4811542,7115121,2775660,3437075,5875577
9/17/2017,4217726,6217801,2411478,3022022,5050812
9/18/2017,4438039,6079504,2589228,3223558,5394894
9/19/2017,4449027,5845989,2605795,3318253,5498925
9/20/2017,4450117,5696752,2620766,3333215,5573412
9/21/2017,4511416,5804669,2662157,3377269,5632846
9/22/2017,4803446,6287200,2795011,3550018,5836533
9/23/2017,4811273,6457167,2697447,3361464,5588322
9/24/2017,4173114,5543199,2386744,2973071,4928772
9/25/2017,4300493,5294767,2532344,3142953,5246747
9/26/2017,4382561,5328387,2584103,3245227,5323218
9/27/2017,4432205,5405673,2626524,3310160,5369976
9/28/2017,4407021,5451463,2651182,3371796,5380140
9/29/2017,4612169,5887270,2805798,3408516,5622105
9/30/2017,4528232,5934154,2644431,3179287,5469318
10/1/2017,3909551,5047240,2310057,2787820,4669591
10/2/2017,4127122,4914458,2488921,3009934,5031324
10/3/2017,4237114,4800023,2546028,3127029,5154154
10/4/2017,4271413,4817960,2572763,3144219,5069708
10/5/2017,4245407,5017664,2567514,3173822,4804623
10/6/2017,4514154,5298530,2715368,3375834,5013373
10/7/2017,4495360,5611556,2608568,3167155,4772899
10/8/2017,3910406,4812894,2278815,2745954,4149464
10/9/2017,4087219,4476628,2450972,2910896,4322950
10/10/2017,4101578,4399014,2480750,2970858,4359961
10/11/2017,4132781,4426403,2392039,2972495,4331127
10/12/2017,4192091,4476909,2316364,3020360,4377235
10/13/2017,4438626,4864863,2425219,3182271,4716436
10/14/2017,4405296,5175338,2329103,2988696,4499964
10/15/2017,3875526,4532672,2064846,2643346,3947139
10/16/2017,4014222,4220968,2208437,2816293,4124168
10/17/2017,4048071,4203320,2253347,2917406,4193222
10/18/2017,4098205,4126287,2278676,2914412,4199350
10/19/2017,4123090,4176623,2288116,2946116,4224348
10/20/2017,4375158,4551204,2359956,3068961,4474331
10/21/2017,4313880,4680268,2246145,2885641,4321072
10/22/2017,3759421,3957884,1966532,2527603,3737602
10/23/2017,3966631,3837990,2102072,2705348,3973208
10/24/2017,4042766,3906281,2131370,2801453,4053813
10/25/2017,4092810,3979854,2177538,2808765,4097702
10/26/2017,4116823,4010417,2185035,2850254,4099284
10/27/2017,4313006,4328256,2241455,3011551,4322923
10/28/2017,4197548,4612204,2122025,2793502,4046255
10/29/2017,3668538,3796560,1877896,2490961,3545629
10/30/2017,3884031,3642564,2028548,2617807,3795222
10/31/2017,3926951,3888958,2034408,2703940,3827345
11/1/2017,3819439,3662143,1997851,2586475,3630529
11/2/2017,3938190,3700892,2052542,2675831,3747806
11/3/2017,4144346,4010977,2129755,2805267,3961130
11/4/2017,4044433,4020957,2054355,2594979,3713045
11/5/2017,3567680,3358109,1813190,2279612,3258038
11/6/2017,3695556,3133130,1949896,2471080,3465063
11/7/2017,3803589,3069122,2025309,2571403,3563317
11/8/2017,3857766,3188437,2091348,2587832,3630088
11/9/2017,3896043,3360350,2114187,2589968,3636623
11/10/2017,4160512,3555034,2199808,2694944,3841749
11/11/2017,4169862,3762636,2086537,2530450,3682152
11/12/2017,3658492,3234510,1839484,2231423,3201396
11/13/2017,3701108,2995731,1961776,2372934,3383654
11/14/2017,3829468,3106599,2024536,2487216,3522049
11/15/2017,3940055,3228922,2072633,2521797,3615039
11/16/2017,3914455,3184255,2072885,2525020,3601911
11/17/2017,4133833,3644654,2138618,2617439,3769327
11/18/2017,4110628,3922003,2051539,2460020,3650789
11/19/2017,3666668,3343278,1807982,2054707,3195993
11/20/2017,3741930,3046317,1950981,2158850,3294761
11/21/2017,3796844,3089118,1993765,2212817,3415188
11/22/2017,3887983,3123134,2026582,2235130,3510993
11/23/2017,3831227,2979721,1957258,2071230,3348415
11/24/2017,3934731,3056587,1969707,2003743,3334933
11/25/2017,4037535,3277689,1917285,1963710,3302385
11/26/2017,3607335,2809414,1747479,1822490,2960413
11/27/2017,3651453,2590998,1855624,1945191,3091897
11/28/2017,3754323,2641420,1926842,2005434,3166629
11/29/2017,3869611,2717354,1963523,2046201,3243320
11/30/2017,3887032,2661182,1990808,2054789,3228846
12/1/2017,4088078,2774406,1783573,2088544,3328965
12/2/2017,3973771,2967287,1679101,1926955,3064846
12/3/2017,3497682,2459963,1492999,1715923,2681287
12/4/2017,3608439,2300997,1653213,1833301,2832473
12/5/2017,4025974,2862451,2065676,2094680,2969181
12/6/2017,4486684,3356051,2287838,2374910,3082904
12/7/2017,4956182,3962757,2524975,2935759,3258200
12/8/2017,4923111,4094943,2574826,3035211,3379843
12/9/2017,4730381,3959109,2336025,2863104,3184655
12/10/2017,4088841,3140477,2009351,2487852,2695505
12/11/2017,4182447,2966875,2154369,2657255,2834333
12/12/2017,4303919,3233276,2235475,2764066,2963018
12/13/2017,4358667,3314040,2267402,2780471,2978316
12/14/2017,4369297,3325530,2248060,2780681,2994198
12/15/2017,4514100,3361095,2225837,2756924,3067124
12/16/2017,4463192,3489922,2113797,2567140,2723787
12/17/2017,3917389,2961518,1873012,2279766,2341248
12/18/2017,4071886,2781199,2028347,2479225,2491145
12/19/2017,4274011,3003114,2132337,2634297,2607727
12/20/2017,4436628,3154413,2169795,2687930,2664331
12/21/2017,4510806,3240941,2175124,2732839,2729016
12/22/2017,4516401,3336412,1955405,2737098,2746256
12/23/2017,4392917,3332468,1827557,2317933,2372778
12/24/2017,4115734,3084918,1482265,1979313,1998051
12/25/2017,3575347,2945233,1380813,1638493,1754546
12/26/2017,3874765,3008858,1952557,2035487,2044976
12/27/2017,4393658,3463788,2241642,2445535,2423038
12/28/2017,4531610,3498889,2379535,2603003,2668312
12/29/2017,4661519,3661065,2510770,2604563,2825661
12/30/2017,4707603,3912257,2505685,2566709,2808529
12/31/2017,7073032,8203454,3514602,2787752,3792953
1/1/2018,4865387,5557165,2179506,2368321,2537274
1/2/2018,4541816,3980200,2368870,2505241,2683769
1/3/2018,4596993,3890385,2363422,2587620,2753557
1/4/2018,4447076,3512667,2345804,2575748,2710101
1/5/2018,4492978,3450315,2408365,2685857,2869783
1/6/2018,4416476,3394284,2188035,2559044,2743748
1/7/2018,4009104,3020789,1908129,2350985,2441045
1/8/2018,4135505,2755266,2023251,2523265,2622693
1/9/2018,4168506,2791601,2058016,2727678,2627334
